order_no,item_name,order_time
007D23010300007387,PISANG GORENG CRISPY ,1/3/2023 13:19
007D23010300007388,KOPI ,1/3/2023 13:21
007D23010300007388,KOPI ,1/3/2023 13:21
007D23010300007389,KOPI ,1/3/2023 13:31
007D23010300007389,DANCOW COKLAT ,1/3/2023 13:31
007D23010300007389,AIR MINERAL RON 88,1/3/2023 13:31
007D23010300007389,KOPI ,1/3/2023 13:31
007D23010300007389,Ready Eat ,1/3/2023 13:31
007D23010300007389,Ready Eat ,1/3/2023 13:31
007D23010300007389,Ready Eat ,1/3/2023 13:31
007D23010300007389,KOPI ,1/3/2023 13:31
007D23010300007389,TEH ,1/3/2023 13:31
007D23010300007389,NASI GORENG ,1/3/2023 13:31
007D23010300007389,Ready Eat ,1/3/2023 13:31
007D23010300007389,Ready Eat ,1/3/2023 13:31
007D23010300007389,Ready Eat ,1/3/2023 13:31
007D23010300007389,KOPI ,1/3/2023 13:31
007D23010300007389,KOPI REMPAH ,1/3/2023 13:31
007D23010300007389,SODA GEMBIRA ,1/3/2023 13:31
007D23010300007389,TEH ,1/3/2023 13:31
007D23010300007389,JERUK ,1/3/2023 13:31
007D23010300007389,Cappucino Latte ,1/3/2023 13:31
007D23010300007389,KOPI ,1/3/2023 13:31
007D23010300007389,JAHE ,1/3/2023 13:31
007D23010300007391,Bintang Redler Lemon ,1/3/2023 13:45
007D23010300007391,COFFE BEER RTD ,1/3/2023 13:45
007D23010300007391,AIR MINERAL RON 88,1/3/2023 13:45
007D23010300007391,CIRENG ,1/3/2023 13:45
007D23010300007391,PISANG GORENG CRISPY ,1/3/2023 13:45
007D23010300007392,NASI GORENG ,1/3/2023 14:21
007D23010300007393,TEH ,1/3/2023 14:25
007D23010300007393,Royal Chocolate ,1/3/2023 14:25
007D23010300007393,KENTANG ,1/3/2023 14:25
007D23010300007394,KOPI ,1/3/2023 15:40
007D23010300007394,KOPI ,1/3/2023 15:40
007D23010300007394,AIR MINERAL RON 88,1/3/2023 15:40
007D23010300007394,SINGKONG KEJU ,1/3/2023 15:40
007D23010300007395,Aroma Mile 16,1/3/2023 15:42
007D23010300007396,AROMA BOLD 12,1/3/2023 15:43
007D23010300007396,AIR MINERAL RON 88,1/3/2023 15:43
007D23010300007397,62 ( noms snack 2000 ),1/3/2023 16:17
007D23010300007398,TEH ,1/3/2023 16:57
007D23010300007398,62 ( noms snack 2000 ),1/3/2023 16:57
007D23010300007399,JOSUA ,1/3/2023 17:10
007D23010300007399,AIR MINERAL RON 88,1/3/2023 17:10
007D23010300007400,PANGSIT GORENG ,1/3/2023 17:32
007D23010300007400,SUSU SIRUP ,1/3/2023 17:32
007D23010300007400,CIRENG ,1/3/2023 17:32
007D23010300007400,AIR MINERAL RON 88,1/3/2023 17:32
007D23010300007401,Bintang CRYSTAL ,1/3/2023 17:33
007D23010300007402,KOPI ,1/3/2023 17:48
007D23010300007402,KOPI ,1/3/2023 17:48
007D23010300007402,KENTANG ,1/3/2023 17:48
007D23010300007402,CIRENG ,1/3/2023 17:48
007D23010300007403,SINGKONG KEJU ,1/3/2023 18:19
007D23010300007403,AIR MINERAL RON 88,1/3/2023 18:19
007D23010300007404,New Red Velvet ,1/3/2023 18:38
007D23010300007404,CIRENG ,1/3/2023 18:38
007D23010300007405,KOPI ,1/3/2023 18:39
007D23010300007406,KOPI ,1/3/2023 18:57
